AssetID,DownloadAttribute,Filetype,Size,PrettyDownloadLink,RawDownloadLink
OutdoorHDRI028,12K-HDR,exr,289182090,https://ambientCG.com/get?file=OutdoorHDRI028_12K-HDR.exr,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI028_quh4lx5y/OutdoorHDRI028_12K-HDR.exr
OutdoorHDRI028,16K-HDR,exr,520150194,https://ambientCG.com/get?file=OutdoorHDRI028_16K-HDR.exr,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI028_quh4lx5y/OutdoorHDRI028_16K-HDR.exr
OutdoorHDRI028,1K-HDR,exr,2083462,https://ambientCG.com/get?file=OutdoorHDRI028_1K-HDR.exr,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI028_quh4lx5y/OutdoorHDRI028_1K-HDR.exr
OutdoorHDRI028,2K-HDR,exr,8278611,https://ambientCG.com/get?file=OutdoorHDRI028_2K-HDR.exr,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI028_quh4lx5y/OutdoorHDRI028_2K-HDR.exr
OutdoorHDRI028,4K-HDR,exr,33119954,https://ambientCG.com/get?file=OutdoorHDRI028_4K-HDR.exr,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI028_quh4lx5y/OutdoorHDRI028_4K-HDR.exr
OutdoorHDRI028,8K-HDR,exr,132623485,https://ambientCG.com/get?file=OutdoorHDRI028_8K-HDR.exr,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI028_quh4lx5y/OutdoorHDRI028_8K-HDR.exr
OutdoorHDRI028,12K-TONEMAPPED,jpg,43329279,https://ambientCG.com/get?file=OutdoorHDRI028_12K-TONEMAPPED.jpg,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI028_quh4lx5y/OutdoorHDRI028_12K-TONEMAPPED.jpg
OutdoorHDRI028,16K-TONEMAPPED,jpg,77259770,https://ambientCG.com/get?file=OutdoorHDRI028_16K-TONEMAPPED.jpg,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI028_quh4lx5y/OutdoorHDRI028_16K-TONEMAPPED.jpg
OutdoorHDRI028,1K-TONEMAPPED,jpg,326699,https://ambientCG.com/get?file=OutdoorHDRI028_1K-TONEMAPPED.jpg,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI028_quh4lx5y/OutdoorHDRI028_1K-TONEMAPPED.jpg
OutdoorHDRI028,2K-TONEMAPPED,jpg,1281898,https://ambientCG.com/get?file=OutdoorHDRI028_2K-TONEMAPPED.jpg,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI028_quh4lx5y/OutdoorHDRI028_2K-TONEMAPPED.jpg
OutdoorHDRI028,4K-TONEMAPPED,jpg,5063144,https://ambientCG.com/get?file=OutdoorHDRI028_4K-TONEMAPPED.jpg,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI028_quh4lx5y/OutdoorHDRI028_4K-TONEMAPPED.jpg
OutdoorHDRI028,8K-TONEMAPPED,jpg,19829877,https://ambientCG.com/get?file=OutdoorHDRI028_8K-TONEMAPPED.jpg,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI028_quh4lx5y/OutdoorHDRI028_8K-TONEMAPPED.jpg
OutdoorHDRI024,12K-HDR,exr,236900107,https://ambientCG.com/get?file=OutdoorHDRI024_12K-HDR.exr,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI024_lntihmye/OutdoorHDRI024_12K-HDR.exr
OutdoorHDRI024,16K-HDR,exr,421821498,https://ambientCG.com/get?file=OutdoorHDRI024_16K-HDR.exr,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI024_lntihmye/OutdoorHDRI024_16K-HDR.exr
OutdoorHDRI024,1K-HDR,exr,1857902,https://ambientCG.com/get?file=OutdoorHDRI024_1K-HDR.exr,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI024_lntihmye/OutdoorHDRI024_1K-HDR.exr
OutdoorHDRI024,2K-HDR,exr,7150564,https://ambientCG.com/get?file=OutdoorHDRI024_2K-HDR.exr,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI024_lntihmye/OutdoorHDRI024_2K-HDR.exr
OutdoorHDRI024,4K-HDR,exr,28030491,https://ambientCG.com/get?file=OutdoorHDRI024_4K-HDR.exr,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI024_lntihmye/OutdoorHDRI024_4K-HDR.exr
OutdoorHDRI024,8K-HDR,exr,109926431,https://ambientCG.com/get?file=OutdoorHDRI024_8K-HDR.exr,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI024_lntihmye/OutdoorHDRI024_8K-HDR.exr
OutdoorHDRI024,12K-TONEMAPPED,jpg,40067615,https://ambientCG.com/get?file=OutdoorHDRI024_12K-TONEMAPPED.jpg,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI024_lntihmye/OutdoorHDRI024_12K-TONEMAPPED.jpg
OutdoorHDRI024,16K-TONEMAPPED,jpg,69185638,https://ambientCG.com/get?file=OutdoorHDRI024_16K-TONEMAPPED.jpg,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI024_lntihmye/OutdoorHDRI024_16K-TONEMAPPED.jpg
OutdoorHDRI024,1K-TONEMAPPED,jpg,314016,https://ambientCG.com/get?file=OutdoorHDRI024_1K-TONEMAPPED.jpg,https://cdn3.struffelproductions.com/file/ambientCG/download/OutdoorHDRI024_lntihmye/OutdoorHDRI024_1K-TONEMAPPED.jpg
